timestamp,trade,fill_price,reservation_price,inventory,cash_position,portfolio_value
2025-04-17 09:58:30,SELL,372.05,372.07,-2,372.05,-372.06
2025-04-17 10:11:00,SELL,370.68,370.7,-3,742.73,-369.235
2025-04-17 10:15:00,SELL,370.73,370.73,-4,1113.46,-369.38
2025-04-17 10:19:30,SELL,370.72,370.72,-5,1484.18,-369.32
2025-04-17 10:25:30,SELL,370.3,370.32,-6,1854.48,-367.29
2025-04-17 10:28:00,SELL,370.06,370.07,-7,2224.54,-365.88
2025-04-17 10:34:30,SELL,369.64,369.64,-8,2594.18,-362.66
2025-04-17 10:39:30,SELL,368.87,368.88,-9,2963.05,-356.645
2025-04-17 10:42:00,SELL,369.63,369.64,-10,3332.68,-363.52
2025-04-17 10:42:30,BUY,369.55,369.54,-9,2963.13,-362.685
2025-04-17 10:44:00,SELL,369.66,369.67,-10,3332.79,-363.81
2025-04-17 10:45:00,BUY,369.86,369.84,-9,2962.93,-365.585
2025-04-17 10:45:30,SELL,369.84,369.84,-10,3332.77,-365.63
2025-04-17 10:47:00,BUY,370.03,370.01,-9,2962.74,-367.305
2025-04-17 10:47:30,BUY,370.08,370.04,-8,2592.66,-367.66
2025-04-17 10:48:30,BUY,370.14,370.13,-7,2222.52,-368.39
2025-04-17 10:49:00,SELL,370.11,370.11,-8,2592.63,-368.25
2025-04-17 10:51:30,BUY,370.16,370.16,-7,2222.47,-368.545
2025-04-17 10:52:00,BUY,370.15,370.15,-6,1852.32,-368.55
2025-04-17 10:54:30,BUY,370.1,370.07,-5,1482.22,-368.08
2025-04-17 10:58:30,SELL,369.92,369.93,-6,1852.14,-367.41
2025-04-17 10:59:30,BUY,369.81,369.78,-5,1482.33,-366.57
2025-04-17 11:02:30,BUY,369.61,369.59,-4,1112.72,-365.62
2025-04-17 11:04:30,BUY,369.49,369.49,-3,743.23,-365.225
2025-04-17 11:10:00,SELL,371.3,371.31,-4,1114.53,-370.61
2025-04-17 11:11:00,SELL,371.71,371.72,-5,1486.24,-372.31
2025-04-17 11:13:30,SELL,371.64,371.65,-6,1857.88,-371.93
2025-04-17 11:16:00,SELL,371.55,371.57,-7,2229.43,-371.42
2025-04-17 11:19:30,SELL,372.11,372.12,-8,2601.54,-375.14
2025-04-17 11:21:00,SELL,371.67,371.7,-9,2973.21,-371.91
2025-04-17 11:25:30,SELL,371.25,371.25,-10,3344.46,-367.84
2025-04-17 11:28:30,SELL,370.6,370.61,-11,3715.06,-361.43
2025-04-17 11:29:30,BUY,370.45,370.44,-10,3344.61,-359.74
2025-04-17 11:32:00,SELL,371.16,371.16,-11,3715.77,-366.825
2025-04-17 11:34:30,SELL,371.36,371.37,-12,4087.13,-369.13
2025-04-17 11:35:30,SELL,370.86,370.87,-13,4457.99,-363.255
2025-04-17 11:39:30,SELL,371.46,371.5,-14,4829.45,-370.99
2025-04-17 11:40:30,BUY,371.57,371.57,-13,4457.88,-372.335
2025-04-17 11:41:30,BUY,371.3,371.29,-12,4086.58,-368.78
2025-04-17 11:43:00,BUY,370.97,370.95,-11,3715.61,-364.73
2025-04-17 11:44:30,BUY,370.77,370.74,-10,3344.84,-362.41
2025-04-17 11:46:00,SELL,370.57,370.59,-11,3715.41,-360.915
2025-04-17 11:47:00,BUY,370.84,370.83,-10,3344.57,-363.63
2025-04-17 11:50:00,SELL,370.5,370.5,-11,3715.07,-360.155
2025-04-17 11:53:30,SELL,370.68,370.73,-12,4085.75,-362.59
2025-04-17 11:56:30,SELL,371.08,371.11,-13,4456.83,-367.145
2025-04-17 11:57:00,BUY,371.13,371.12,-12,4085.7,-367.62
2025-04-17 11:58:00,SELL,370.9,370.91,-13,4456.6,-365.1
2025-04-17 11:58:30,BUY,370.9,370.88,-12,4085.7,-364.74
2025-04-17 11:59:00,BUY,370.84,370.83,-11,3714.86,-364.27
2025-04-17 11:59:30,BUY,370.84,370.83,-10,3344.02,-364.23
2025-04-17 12:00:30,BUY,371.11,371.1,-9,2972.91,-366.9
2025-04-17 12:01:30,BUY,371.0,370.98,-8,2601.91,-365.89
2025-04-17 12:02:30,BUY,370.99,370.97,-7,2230.92,-365.8
2025-04-17 12:04:30,SELL,370.7,370.71,-8,2601.62,-363.98
2025-04-17 12:09:30,SELL,372.19,372.24,-9,2973.81,-375.99
2025-04-17 12:10:30,BUY,371.81,371.8,-8,2602.0,-372.36
2025-04-17 12:16:00,SELL,372.02,372.04,-9,2974.02,-373.575
2025-04-17 12:18:00,SELL,371.71,371.74,-10,3345.73,-371.32
2025-04-17 12:19:30,SELL,372.23,372.27,-11,3717.96,-376.68
2025-04-17 12:22:00,SELL,372.07,372.08,-12,4090.03,-374.51
2025-04-17 12:23:00,SELL,371.71,371.74,-13,4461.74,-370.685
2025-04-17 12:23:30,BUY,371.8,371.77,-12,4089.94,-371.24
2025-04-17 12:24:30,SELL,371.7,371.72,-13,4461.64,-370.46
2025-04-17 12:27:00,SELL,371.84,371.9,-14,4833.48,-372.63
2025-04-17 12:27:30,SELL,371.86,371.86,-15,5205.34,-372.485
2025-04-17 12:28:00,SELL,371.86,371.87,-16,5577.2,-372.56
2025-04-17 12:32:00,SELL,371.61,371.62,-17,5948.81,-368.22
2025-04-17 12:33:30,BUY,372.05,372.05,-16,5576.76,-375.72
2025-04-17 12:34:30,BUY,371.93,371.89,-15,5204.83,-373.445
2025-04-17 12:36:00,BUY,371.96,371.95,-14,4832.87,-374.22
2025-04-17 12:37:30,BUY,371.41,371.4,-13,4461.46,-366.61
2025-04-17 12:40:30,SELL,371.06,371.06,-14,4832.52,-362.04
2025-04-17 12:42:30,SELL,370.66,370.67,-15,5203.18,-356.645
2025-04-17 12:46:30,SELL,370.25,370.27,-16,5573.43,-350.25
2025-04-17 12:47:00,BUY,370.33,370.31,-15,5203.1,-351.475
2025-04-17 12:47:30,SELL,370.31,370.31,-16,5573.41,-351.55
2025-04-17 12:48:00,BUY,370.27,370.26,-15,5203.14,-350.685
2025-04-17 12:50:30,BUY,370.44,370.44,-14,4832.7,-353.11
2025-04-17 12:51:30,BUY,370.48,370.45,-13,4462.22,-353.5
2025-04-17 12:53:30,BUY,371.29,371.26,-12,4090.93,-364.01
2025-04-17 12:54:00,BUY,371.36,371.35,-11,3719.57,-365.225
2025-04-17 12:54:30,BUY,371.37,371.35,-10,3348.2,-365.25
2025-04-17 12:55:30,BUY,371.45,371.43,-9,2976.75,-366.03
2025-04-17 12:57:30,BUY,371.42,371.41,-8,2605.33,-365.83
2025-04-17 12:58:00,BUY,371.46,371.45,-7,2233.87,-366.28
2025-04-17 12:59:30,BUY,371.52,371.49,-6,1862.35,-366.56
2025-04-17 13:02:00,BUY,371.71,371.69,-5,1490.64,-367.785
2025-04-17 13:02:30,BUY,371.67,371.67,-4,1118.97,-367.69
2025-04-17 13:03:30,BUY,371.39,371.37,-3,747.58,-366.515
2025-04-17 13:04:00,SELL,371.32,371.32,-4,1118.9,-366.38
2025-04-17 13:05:00,BUY,371.53,371.45,-3,747.37,-366.98
2025-04-17 13:06:30,BUY,371.2,371.16,-2,376.17,-366.15
2025-04-17 13:07:30,BUY,371.33,371.33,-1,4.84,-366.485
2025-04-17 13:08:00,BUY,371.37,371.36,0,-366.53,-366.53
2025-04-17 13:11:30,BUY,371.19,371.16,1,-737.72,-366.56
2025-04-17 13:13:30,BUY,371.14,371.1,2,-1108.86,-366.65
2025-04-17 13:14:30,BUY,370.84,370.81,3,-1479.7,-367.27
2025-04-17 13:15:30,BUY,370.99,370.97,4,-1850.69,-366.79
2025-04-17 13:16:30,BUY,370.73,370.72,5,-2221.42,-367.795
2025-04-17 13:17:00,BUY,370.77,370.7,6,-2592.19,-367.99
2025-04-17 13:17:30,BUY,370.64,370.63,7,-2962.83,-368.385
2025-04-17 13:18:30,BUY,370.65,370.6,8,-3333.48,-368.64
2025-04-17 13:19:30,BUY,370.74,370.72,9,-3704.22,-367.74
2025-04-17 13:20:30,SELL,370.63,370.64,-1,2.06,-368.58
2025-04-17 13:22:00,BUY,370.5,370.48,0,-368.44,-368.44
2025-04-17 13:23:30,BUY,370.54,370.51,1,-738.98,-368.47
2025-04-17 13:24:00,BUY,370.52,370.47,2,-1109.5,-368.55
2025-04-17 13:25:30,BUY,370.92,370.87,3,-1480.42,-367.795
2025-04-17 13:27:00,BUY,370.48,370.47,4,-1850.9,-369.0
2025-04-17 13:28:00,BUY,370.63,370.63,5,-2221.53,-368.38
2025-04-17 13:29:30,BUY,370.41,370.4,6,-2591.94,-369.51
2025-04-17 13:31:30,BUY,370.74,370.73,7,-2962.68,-367.535
2025-04-17 13:33:00,BUY,370.79,370.79,8,-3333.47,-367.15
2025-04-17 13:34:30,BUY,371.04,371.01,9,-3704.51,-365.375
2025-04-17 13:37:30,SELL,370.98,371.0,-1,5.23,-365.78
2025-04-17 13:38:30,BUY,371.13,371.09,0,-365.9,-365.9
2025-04-17 13:39:30,BUY,371.2,371.16,1,-737.1,-365.935
2025-04-17 13:41:00,BUY,371.04,371.01,2,-1108.14,-366.12
2025-04-17 13:41:30,BUY,370.91,370.91,3,-1479.05,-366.32
2025-04-17 13:47:30,BUY,371.81,371.79,4,-1850.86,-363.68
2025-04-17 13:49:00,BUY,371.56,371.54,5,-2222.42,-364.72
2025-04-17 13:54:00,BUY,371.62,371.6,6,-2594.04,-364.38
2025-04-17 13:56:00,BUY,371.67,371.65,7,-2965.71,-364.09
2025-04-17 13:57:00,BUY,371.36,371.35,8,-3337.07,-366.23
2025-04-17 13:57:30,BUY,371.35,371.32,9,-3708.42,-366.495
2025-04-17 13:58:30,SELL,371.22,371.22,-1,3.77,-367.455
2025-04-17 13:59:30,BUY,371.12,371.06,0,-367.35,-367.35
2025-04-17 14:01:30,BUY,371.12,371.06,1,-738.47,-367.41
2025-04-17 14:07:30,BUY,371.5,371.48,2,-1109.97,-367.01
2025-04-17 14:09:30,BUY,371.55,371.52,3,-1481.52,-366.945
2025-04-17 14:12:00,BUY,371.41,371.41,4,-1852.93,-367.29
2025-04-17 14:16:30,BUY,370.56,370.53,5,-2223.49,-370.79
2025-04-17 14:19:30,BUY,371.36,371.33,6,-2594.85,-366.81
2025-04-17 14:21:30,BUY,371.48,371.42,7,-2966.33,-366.355
2025-04-17 14:22:30,BUY,371.56,371.5,8,-3337.89,-365.85
2025-04-17 14:23:00,BUY,371.58,371.54,9,-3709.47,-365.61
2025-04-17 14:26:30,SELL,370.86,370.86,-1,-0.91,-371.79
2025-04-17 14:27:30,BUY,370.92,370.9,0,-371.83,-371.83
2025-04-17 14:28:30,BUY,370.98,370.95,1,-742.81,-371.865
2025-04-17 14:32:30,BUY,370.99,370.98,2,-1113.8,-371.83
2025-04-17 14:33:30,BUY,370.86,370.86,3,-1484.66,-372.08
2025-04-17 14:37:30,BUY,370.51,370.46,4,-1855.17,-373.33
2025-04-17 14:38:00,BUY,370.54,370.5,5,-2225.71,-373.21
2025-04-17 14:38:30,BUY,370.6,370.58,6,-2596.31,-372.8
2025-04-17 14:39:00,BUY,370.57,370.57,7,-2966.88,-372.89
2025-04-17 14:40:00,BUY,370.68,370.68,8,-3337.56,-372.12
2025-04-17 14:43:00,BUY,370.52,370.49,9,-3708.08,-373.58
2025-04-17 14:43:30,SELL,370.48,370.5,-1,-3.33,-373.835
2025-04-17 14:46:00,SELL,370.9,370.9,-2,367.57,-374.23
2025-04-17 14:49:30,BUY,370.19,370.18,-1,-2.62,-372.795
2025-04-17 14:51:00,SELL,369.74,369.74,-2,367.12,-372.36
2025-04-17 14:53:00,BUY,370.3,370.29,-1,-3.18,-373.47
2025-04-17 14:55:30,BUY,369.98,369.96,0,-373.16,-373.16
2025-04-17 15:01:00,BUY,369.38,369.38,1,-742.54,-373.165
2025-04-17 15:04:30,BUY,369.3,369.28,2,-1111.84,-373.27
2025-04-17 15:08:30,BUY,369.09,369.07,3,-1480.93,-373.72
2025-04-17 15:09:30,BUY,369.19,369.19,4,-1850.12,-373.36
2025-04-17 15:11:30,BUY,369.02,369.0,5,-2219.14,-374.115
2025-04-17 15:25:30,BUY,368.14,368.11,6,-2587.28,-378.44
2025-04-17 15:26:30,BUY,368.47,368.46,7,-2955.75,-376.495
2025-04-17 15:29:00,BUY,368.6,368.58,8,-3324.35,-375.67
2025-04-17 15:34:00,BUY,368.45,368.44,9,-3692.8,-376.66
2025-04-17 15:40:30,SELL,368.43,368.39,-1,-8.49,-376.915
